日付,会場,レース番号,レース名,重賞,コースタイプ,距離,回り,天候,馬場状態,着 順,枠,馬 番,馬名,性齢,斤量,騎手,タイム,着差,人 気,単勝 オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),race_id,horse_id,past_1_date,past_1_rank,past_1_time,past_1_run_style,past_1_race_name,past_1_last_3f,past_1_horse_weight,past_1_jockey,past_1_condition,past_1_odds,past_1_weather,past_2_date,past_2_rank,past_2_time,past_2_run_style,past_2_race_name,past_2_last_3f,past_2_horse_weight,past_2_jockey,past_2_condition,past_2_odds,past_2_weather,past_3_date,past_3_rank,past_3_time,past_3_run_style,past_3_race_name,past_3_last_3f,past_3_horse_weight,past_3_jockey,past_3_condition,past_3_odds,past_3_weather,past_4_date,past_4_rank,past_4_time,past_4_run_style,past_4_race_name,past_4_last_3f,past_4_horse_weight,past_4_jockey,past_4_condition,past_4_odds,past_4_weather,past_5_date,past_5_rank,past_5_time,past_5_run_style,past_5_race_name,past_5_last_3f,past_5_horse_weight,past_5_jockey,past_5_condition,past_5_odds,past_5_weather,past_1_distance,past_1_course_type,past_2_distance,past_2_course_type,past_3_distance,past_3_course_type,past_4_distance,past_4_course_type,past_5_distance,past_5_course_type,コーナー 通過順,馬体重 (増減)
2025年1月25日,中山,10R,初霞賞,,,,,,,7,2,2,カイコウ,せん4,57.0,大野 拓弥,1:54.8,クビ,10.0,0.0,38.2,,田島 俊明,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6655.0,460(0)
2025年1月25日,中山,10R,初霞賞,,,,,,,8,7,10,レオカクテル,牡7,58.0,丸田 恭介,1:55.3,３,9.0,0.0,37.5,,萱野 浩二,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12121313.0,514(+4)
2025年1月25日,中山,10R,初霞賞,,,,,,,9,8,13,オセアバトルプラン,牡5,58.0,内田 博幸,1:55.3,ハナ,8.0,0.0,37.8,,菊川 正達,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9111111.0,484(-6)
2025年1月25日,中山,10R,初霞賞,,,,,,,10,5,7,マーシャルポイント,牡4,57.0,C.ルメール,1:55.4,１／２,4.0,0.0,39.0,,木村 哲也,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4434.0,480(+4)
2025年1月25日,中山,10R,初霞賞,,,,,,,11,1,1,デルマタモン,牡7,58.0,北村 宏司,1:55.5,１／２,12.0,0.0,38.4,,勢司 和浩,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9998.0,516(0)
2025年1月25日,中山,10R,初霞賞,,,,,,,12,4,4,ヤウガウ,せん8,58.0,横山 琉人,1:55.6,１／２,13.0,0.0,38.1,,金成 貴史,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12121111.0,508(+20)
2025年1月25日,中山,10R,初霞賞,,,,,,,13,5,6,コスモオピニオン,牡5,58.0,菅原 明良,1:56.5,５,11.0,0.0,39.8,,黒岩 陽一,,202506010810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4455.0,514(+2)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,1,3,6,コスモブッドレア,牡4,56.0,R.キング,2:00.7,,2.0,0.0,35.6,,小野 次郎,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3311.0,488(0)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,2,8,17,ルクスビッグスター,牡5,55.0,石橋 脩,2:00.7,クビ,11.0,0.0,35.5,,清水 久詞,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222.0,484(+4)
2025年1月25日,中山,11R,初富士ステークス,,,,,,,3,1,1,ウインエクレール,牝6,53.0,松岡 正海,2:00.8,３／４,8.0,0.0,35.3,,畠山 吉宏,,202506010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333.0,496(+2)
